#Parameters = {ep=1.5; height=200; phi=0; rad=80; theta=0; wid=200}
#"Wavelength / nm"	"SZmin(1),Zmax(1) (ep=1.5) [Mag]"	"SZmin(1),Zmax(1) (ep=1.5) [Pha in deg.]"
#---------------------------------------------------------------------------------------------
1.5226666666667	0.96107487178948	113.81000794943
1.5250000000000	0.96465570966471	111.97236711561
1.5273333333333	0.96748676936343	110.26508204381
1.5320000000000	0.97161862140854	107.13432392324
1.5366666666667	0.97442138129702	104.26684471960
1.5413333333333	0.97638708234701	101.57576260568
1.5460000000000	0.97779204948065	99.007427154614
1.5506666666667	0.97880126013046	96.526773905519
1.5553333333333	0.97951756254148	94.109747789870
1.5600000000000	0.98000644296662	91.739113154519
1.5646666666667	0.98030870967799	89.402026696190
1.5693333333333	0.98044677752955	87.088668218486
1.5740000000000	0.98043138863242	84.791715164992
1.5786666666667	0.98028607490348	82.505899770470
1.5833333333333	0.98006380249090	80.224765249417
1.5880000000000	0.97977126205115	77.939265365716
1.5926666666667	0.97936684764671	75.642269722953
1.5973333333333	0.97882040059917	73.327635475844
